feature,importance
n_emoji,0.0061628373812718075
char_ @,0.005905373761094157
char__ù,0.005136833714112603
char_ù÷,0.004799880065005966
char_ _ù,0.004779190544611611
avg_word_len,0.0041468005876935795
char__ù÷,0.00393156865135218
upper_ratio,0.0038970578712074727
n_mention,0.003822485586072157
char_ _,0.003451064409144896
char_i ,0.003323193946152074
my,0.0031790977381616144
char_ _ù÷,0.003177287625974991
_ù,0.0031504954633588445
char_. ,0.003118468814511432
char_ i ,0.0030613808393236248
n_chars,0.002920657975883698
char_ my ,0.002859853964181705
char_ my,0.0027600185321002262
n_upper,0.0026383826380805215
char_ m,0.002630365409183409
char_ i,0.0025347393767581315
the,0.002516874004803109
char_nd ,0.002468850958803963
char_and,0.002462984249197561
char_my,0.0024536838075164876
char_ an,0.0024345053433081584
char_my ,0.0023369066120005545
char_y ,0.002323296840608195
char_ th,0.002306621077902298
char_the,0.002298353937942634
char_ the,0.0022624150223282753
char_he ,0.002222673868946384
n_words,0.0022101335237290965
char_ t,0.002170111015602733
char_e ,0.0021483374120023703
char_nd,0.002145700218758066
char_ and,0.0021430271014283254
punct_ratio,0.0021422778339990206
char_an,0.0020852577809570465
char_s ,0.0020732375763728066
char_t ,0.00206475988813519
char_th,0.002015724503588772
char_on,0.0020131035082756672
char_the ,0.00199753603935841
char_d ,0.001965357783001647
char_he,0.0019539474368599624
char_and ,0.0019018827448466892
char_ me ,0.0018448187864141305
char_ a,0.0018414667511036458
char_in,0.0018273100496488453
and,0.001816612991218115
char_ s,0.0017884907804733483
char_re,0.0017575164913240459
char_ h,0.0017398465769336417
char_play,0.0017241655572023144
"char_, ",0.0017097314013438767
char_la,0.0016813985622618208
char_ni,0.0016645158565754604
char_de,0.0016638191653939147
char_o ,0.0016354639045296543
char_ o,0.001631177276085057
char_ me,0.0016241682620663394
char_n ,0.001623370807887374
char_ce,0.0016086992905413348
char_me ,0.0016042536509664593
char_l ,0.0015762954088175227
me,0.0015675473076169066
char_ d,0.0015558083505059117
char_co,0.001550184924110687
char_ra,0.0014955564410069108
char_ l,0.0014895541122183496
char_ w,0.0014629489538726251
char_me,0.0014312877378225921
char_ g,0.00139821313343632
char_en,0.0013584915549799273
char_lo,0.0013553045813748893
char_a ,0.0013495017506293778
char_ y,0.0013411677294411246
char_er,0.0013405406292453593
char_ yo,0.0013371914621178494
char_ha,0.0013206222673367396
char_ c,0.001315652703637122
char_tr,0.00131118198203842
char_ p,0.00130309296412477
char_ou,0.0013022122746572105
char_ b,0.0012986140604546025
char_ea,0.0012893984938549875
n_punct,0.0012828536178838507
char_ng,0.0012790381190645463
char_or,0.0012771052419722347
char_ar,0.001260905091313917
char_it,0.0012591382777326137
char_ing,0.0012561355398306778
char_te,0.0012506074096714525
char_m ,0.0012429533855663726
char_ve,0.001241847117859894
char_st,0.0012400710936303933
char_to,0.0012385481078201572
char_t.,0.0012381947351342364
char_ a ,0.001230931415188438
co,0.0012287803175452304
char_at,0.0012204569808258031
char_ her,0.001218888368630516
char_on ,0.0012146286465832554
char_ed,0.0012118905291119298
char_hi,0.001211562026677047
char_ i',0.001207810326177465
char_÷_,0.0012065384198632007
char_h ,0.0011906187275672498
char_is,0.0011903539995330292
char_r ,0.0011821688806218783
char_ns,0.0011756787254129175
char_ing ,0.0011682889209369879
char_so ,0.00116627070415615
https co,0.0011604312747125678
char_ll,0.00115361188853808
char_lay,0.0011429324957000864
char_et,0.0011380892628191305
char_ot,0.0011362748180171723
char_le,0.0011335595981709992
char_ f,0.001131138058612706
char_ht,0.001127445664605639
char_ so ,0.0011268705033177697
char_f ,0.0011257932713623858
char_htt,0.0011174041058111593
char_ee,0.001114185530414032
char_ùª,0.0011140576675818528
char_es,0.0011046973593193858
char_/t,0.0010972296487910262
char_ to,0.0010914113610509567
char_ne,0.0010801500848688214
char_tt,0.001079827743285349
char_ly,0.001076553059883419
char_ck,0.0010711148308428097
char_ro,0.0010699788572337999
char_no,0.001064920410520553
char_ it,0.0010600053963270531
char_ you,0.0010581838479235906
char_g ,0.0010569199607815393
char_at ,0.0010561961944327066
char_ng ,0.0010510847874564205
char_ch,0.0010506798237931527
char_ e,0.001048434732764994
char_o/,0.0010460374946470773
char_al,0.0010397762599774383
char_en ,0.001038833357249156
char_se,0.0010386570974876227
char_ame,0.0010379346460239328
char_so,0.0010372637422515958
char_ of,0.0010301539823249692
char_tp,0.0010248377698384827
char_t.co,0.0010232168828861745
char_http,0.0010213061093294542
char_ fo,0.0010174255782663146
char_'m ,0.0010160060160353988
to,0.0010144657150381047
char_co/,0.0010091924136924582
char_re ,0.0009985602310405809
char_.co,0.0009980176612337211
char_ #,0.0009970852868789856
https,0.000985190216444758
char_ti,0.0009829615560087645
char_ gam,0.0009821318097629605
char_ to ,0.0009788679278955156
char_.c,0.000974238231877967
char_of,0.0009720028123774128
char_li,0.0009697585665941576
char_ on,0.0009694912086329019
char_er ,0.0009681065293219047
char_ htt,0.0009649745307577483
char_.co/,0.0009629664672021015
char_/t.,0.0009589427651983082
char_day,0.000957078858666522
char_il,0.0009565667976534913
char_el,0.0009554885698818815
char_s:,0.0009517100456101417
char_ut,0.0009503947269388031
char_yo,0.0009495732563679405
char_k ,0.0009473533700359579
